#Instrument,Date,Time,Record Type,Price,Volume,Undisclosed Volume,Value,Qualifiers,Trans ID,Bid ID,Ask ID,Bid/Ask,Entry Time,Old Price,Old Volume,Buyer Broker ID,Seller Broker ID
BHP,20130205,09:16.4,TRADE,37.33,58,,2165.14,PXT,0,6.23042E+18,6.23042E+18,,,,,203,203
BHP,20130205,09:18.9,TRADE,37.34,1,,37.34,,0,6.23042E+18,6.23042E+18,,,,,361,210
BHP,20130205,09:18.9,TRADE,37.34,34,,1269.56,,0,6.23042E+18,6.23042E+18,,,,,361,217
BHP,20130205,09:20.4,TRADE,37.34,368,,13741.12,,0,6.23042E+18,6.23042E+18,,,,,203,217
BHP,20130205,09:20.4,TRADE,37.34,675,,25204.5,XT,0,6.23042E+18,6.23042E+18,,,,,203,203
BHP,20130205,09:20.4,TRADE,37.34,43,,1605.62,XT,0,6.23042E+18,6.23042E+18,,,,,203,203
BHP,20130205,09:20.4,TRADE,37.34,260,,9708.4,,0,6.23042E+18,6.23042E+18,,,,,203,217
BHP,20130205,09:20.4,TRADE,37.34,1,,37.34,,0,6.23042E+18,6.23042E+18,,,,,203,210
BHP,20130205,09:20.4,TRADE,37.35,6,,224.1,,0,6.23042E+18,6.23042E+18,,,,,229,210
BHP,20130205,09:20.4,TRADE,37.35,403,,15052.05,,0,6.23042E+18,6.23042E+18,,,,,229,297
BHP,20130205,09:20.4,ENTER,37.34,675,,25204.5,XT,0,6.23042E+18,6.23042E+18,A,,,,203,203
BHP,20130205,09:20.4,ENTER,37.35,6,,224.1,,0,6.23042E+18,6.23042E+18,B,,,,229,210
