#Instrument,Date,Time,Price,Volume,Value,Trans ID,Bid ID,Ask ID,Bid/Ask
BHP,20130205,10:55:37.120,37.420,106,3966.52,0,6230424149652192105,,B
BHP,20130205,10:55:19.569,37.410,500,18705,0,6230424149652189237,,B
BHP,20130205,10:55:28.481,37.410,400,14964,0,6230424149652190471,,B
BHP,20130205,10:55:37.706,37.410,14,523.74,0,6230424149652192255,,B
BHP,20130205,10:54:58.005,37.400,6,224.4,0,6230424149652185579,,B
BHP,20130205,10:56:06.007,37.400,157,5871.8,0,6230424149652189105,,B
BHP,20130205,10:03:13.184,37.390,2000,74780,0,6230424149651773690,,B
BHP,20130205,10:52:11.056,37.390,614,22957.46,0,6230424149652164246,,B
BHP,20130205,10:53:58.368,37.390,7747,289660.33,0,6230424149652177324,,B
BHP,20130205,10:53:58.369,37.390,1060,39633.4,0,6230424149652177330,,B
BHP,20130205,10:53:58.536,37.390,217,8113.63,0,6230424149652166566,,B
BHP,20130205,10:54:04.977,37.390,300,11217,0,6230424149652177754,,B
BHP,20130205,10:54:58.075,37.390,2,74.78,0,6230424149652185582,,B
BHP,20130205,10:56:20.603,37.390,12,448.68,0,6230424149652192900,,B
BHP,20130205,10:58:20.439,37.390,698,26098.22,0,6230424149652215225,,B
BHP,20130205,10:05:41.350,37.385,204,7626.54,0,6230424149651815912,,B
BHP,20130205,10:52:50.216,37.385,9,336.465,0,6230424149652168439,,B
BHP,20130205,10:00:01.592,37.380,4614,172471.32,0,6230424149651792817,,B
BHP,20130205,10:03:27.934,37.380,500,18690,0,6230424149651805007,,B
BHP,20130205,10:04:52.230,37.380,3,112.14,0,6230424149651805007,,B
BHP,20130205,10:05:38.591,37.380,627,23437.26,0,6230424149651805007,,B
BHP,20130205,10:06:35.012,37.380,666,24895.08,0,6230424149651818484,,B
BHP,20130205,10:06:47.060,37.380,667,24932.46,0,6230424149651819374,,B
BHP,20130205,10:23:45.998,37.380,3082,115205.16,0,6230424149651960022,,B
BHP,20130205,10:34:05.883,37.380,1497,55957.86,0,6230424149652029637,,B
