#Instrument,Date,Time,Record Type,Price,Volume,Undisclosed Volume,Value,Qualifiers,Trans ID,Bid ID,Ask ID,Bid/Ask,Entry Time,Old Price,Old Volume,Buyer Broker ID,Seller Broker ID
BHP,20130205,10:00:01.592,ENTER,37.380,100,,3738.0000000000005,,,382,383,B,,,,945,366
BHP,20130205,10:00:01.592,ENTER,37.380,100,,3738.0000000000005,,,386,387,A,,,,945,203
BHP,20130205,10:00:03.065,ENTER,37.350,100,,3735.0,,,414,415,A,,,,140,150
BHP,20130205,10:00:03.132,ENTER,37.350,100,,3735.0,,,418,419,B,,,,210,150
BHP,20130205,10:00:06.688,ENTER,37.370,100,,3736.9999999999995,,,430,431,B,,,,217,112
BHP,20130205,10:00:06.819,ENTER,37.360,100,,3736.0,,,434,435,A,,,,297,217
BHP,20130205,10:00:08.457,ENTER,37.360,100,,3736.0,,,436,437,A,,,,297,916
BHP,20130205,10:00:20.798,ENTER,37.360,100,,3736.0,,,440,441,B,,,,112,361
BHP,20130205,10:00:22.491,ENTER,37.360,100,,3736.0,,,446,447,A,,,,297,361
BHP,20130205,10:00:26.415,ENTER,37.360,100,,3736.0,,,448,449,B,,,,241,361
BHP,20130205,10:00:27.453,ENTER,37.360,100,,3736.0,,,450,451,B,,,,297,361
BHP,20130205,10:00:32.560,ENTER,37.350,100,,3735.0,,,452,453,A,,,,210,203
BHP,20130205,10:00:32.746,ENTER,37.360,100,,3736.0,,,454,455,A,,,,110,361
BHP,20130205,10:00:32.746,ENTER,37.360,100,,3736.0,,,456,457,B,,,,110,217
BHP,20130205,10:00:32.746,ENTER,37.360,100,,3736.0,,,458,459,B,,,,110,203
BHP,20130205,10:00:32.746,ENTER,37.360,100,,3736.0,,,460,461,A,,,,110,203
BHP,20130205,10:00:46.077,ENTER,37.370,100,,3736.9999999999995,,,488,489,B,,,,203,297
BHP,20130205,10:00:46.077,ENTER,37.370,100,,3736.9999999999995,,,492,493,A,,,,203,210
BHP,20130205,10:00:46.482,ENTER,37.360,100,,3736.0,,,500,501,A,,,,150,110
BHP,20130205,10:00:46.482,ENTER,37.360,100,,3736.0,,,504,505,B,,,,150,110
BHP,20130205,10:00:53.637,ENTER,37.370,100,,3736.9999999999995,,,546,547,B,,,,238,210
BHP,20130205,10:00:53.637,ENTER,37.370,100,,3736.9999999999995,,,550,551,A,,,,238,203
BHP,20130205,10:00:59.749,ENTER,37.360,100,,3736.0,,,554,555,A,,,,210,203
BHP,20130205,10:00:59.749,ENTER,37.360,100,,3736.0,,,558,559,B,,,,210,217
BHP,20130205,10:01:14.440,ENTER,37.350,100,,3735.0,,,572,573,A,,,,210,203
BHP,20130205,10:01:26.631,ENTER,37.360,100,,3736.0,,,576,577,B,,,,638,157
BHP,20130205,10:01:28.138,ENTER,37.350,100,,3735.0,,,578,579,B,,,,210,144
BHP,20130205,10:01:35.236,ENTER,37.350,100,,3735.0,,,580,581,A,,,,210,140
BHP,20130205,10:01:38.149,ENTER,37.350,100,,3735.0,,,582,583,A,,,,210,203
BHP,20130205,10:01:48.242,ENTER,37.360,100,,3736.0,,,584,585,B,,,,638,157
BHP,20130205,10:01:48.474,ENTER,37.360,100,,3736.0,,,586,587,B,,,,110,157
BHP,20130205,10:01:48.474,ENTER,37.360,100,,3736.0,,,590,591,A,,,,110,203
BHP,20130205,10:02:04.693,ENTER,37.350,100,,3735.0,,,618,619,A,,,,210,244
BHP,20130205,10:02:16.253,ENTER,37.350,100,,3735.0,PXT,,622,623,B,,,,203,203
BHP,20130205,10:02:26.133,ENTER,37.360,100,,3736.0,,,642,643,B,,,,210,217
BHP,20130205,10:02:26.133,ENTER,37.360,100,,3736.0,,,646,647,A,,,,210,150
BHP,20130205,10:02:28.363,ENTER,37.370,100,,3736.9999999999995,,,668,669,B,,,,638,297
BHP,20130205,10:02:32.181,ENTER,37.370,100,,3736.9999999999995,,,672,673,A,,,,638,297
BHP,20130205,10:02:32.181,ENTER,37.370,100,,3736.9999999999995,,,674,675,B,,,,638,203
BHP,20130205,10:02:32.181,ENTER,37.370,100,,3736.9999999999995,,,676,677,B,,,,638,203
BHP,20130205,10:02:48.668,ENTER,37.375,100,,3737.5,,,678,679,A,,,,210,217
BHP,20130205,10:03:13.184,ENTER,37.390,100,,3739.0,,,704,705,B,,,,238,217
BHP,20130205,10:03:13.184,ENTER,37.390,100,,3739.0,,,708,709,A,,,,238,941
BHP,20130205,10:03:27.934,ENTER,37.380,100,,3738.0000000000005,,,714,715,A,,,,210,916
BHP,20130205,10:03:34.208,ENTER,37.390,100,,3739.0,,,718,719,B,,,,110,210
BHP,20130205,10:03:34.208,ENTER,37.390,100,,3739.0,,,722,723,A,,,,110,941
BHP,20130205,10:04:52.230,ENTER,37.380,100,,3738.0000000000005,,,784,785,A,,,,210,150
